timestamp,temperature,temperature_min,temperature_max,humidity,pressure
2024-12-31 03:00:00,21.63,21.63,21.63,90,1019
2024-12-31 06:00:00,21.29,21.29,21.29,88,1016
2024-12-31 09:00:00,21.24,21.24,21.24,83,1015
2024-12-31 12:00:00,21.36,21.36,21.36,81,1017
2025-01-01 03:00:00,20.93,20.93,20.93,85,1018
2025-01-01 06:00:00,21.41,21.41,21.41,82,1015
2025-01-01 09:00:00,21.65,21.65,21.65,81,1014
2025-01-01 12:00:00,21.02,21.02,21.02,82,1016
2025-01-02 03:00:00,21.04,21.04,21.04,89,1016
2025-01-02 06:00:00,21.58,21.58,21.58,89,1013
2025-01-02 09:00:00,21.57,21.57,21.57,89,1013
2025-01-02 12:00:00,21.41,21.41,21.41,89,1015
2025-01-03 03:00:00,22.43,22.43,22.43,86,1017
2025-01-03 06:00:00,22.6,22.6,22.6,83,1015
2025-01-03 09:00:00,22.39,22.39,22.39,80,1015
2025-01-03 12:00:00,22.08,22.08,22.08,80,1017
2025-01-04 03:00:00,22.57,22.57,22.57,74,1018
2025-01-04 06:00:00,22.37,22.37,22.37,75,1016
2025-01-04 09:00:00,22.29,22.29,22.29,77,1015
2025-01-04 12:00:00,21.59,21.59,21.59,78,1017
