timestamp,temperature,temperature_min,temperature_max,humidity,pressure,anomaly,status
2024-12-30 03:00:00,28.0,28.0,28.0,63,1013,1,Bình thường
2024-12-30 06:00:00,31.44,31.44,31.44,50,1010,1,Bình thường
2024-12-30 09:00:00,31.36,31.36,31.36,49,1009,1,Bình thường
2024-12-30 12:00:00,26.68,26.68,26.68,72,1011,1,Bình thường
2024-12-31 03:00:00,27.66,27.66,27.66,69,1013,1,Bình thường
2024-12-31 06:00:00,29.17,29.17,29.17,59,1010,1,Bình thường
2024-12-31 09:00:00,29.73,29.73,29.73,57,1007,1,Bình thường
2024-12-31 12:00:00,26.81,26.81,26.81,69,1010,1,Bình thường
2025-01-01 03:00:00,27.99,27.99,27.99,64,1011,1,Bình thường
2025-01-01 06:00:00,30.49,30.49,30.49,55,1009,1,Bình thường
2025-01-01 09:00:00,29.96,29.96,29.96,57,1008,1,Bình thường
2025-01-01 12:00:00,25.83,25.83,25.83,80,1009,1,Bình thường
2025-01-02 03:00:00,29.27,29.27,29.27,64,1011,1,Bình thường
2025-01-02 06:00:00,32.29,32.29,32.29,49,1008,1,Bình thường
2025-01-02 09:00:00,32.01,32.01,32.01,50,1006,1,Bình thường
2025-01-02 12:00:00,26.59,26.59,26.59,79,1008,1,Bình thường
2025-01-03 03:00:00,29.28,29.28,29.28,67,1011,1,Bình thường
2025-01-03 06:00:00,32.3,32.3,32.3,53,1008,1,Bình thường
2025-01-03 09:00:00,27.34,27.34,27.34,79,1007,1,Bình thường
2025-01-03 12:00:00,24.68,24.68,24.68,92,1009,-1,Độ ẩm 92% > 80% (quá ẩm)
